##########################################################################
# Copyright: (c) 2013   Mayo Foundation for Medical Education and 
# Research (MFMER). All rights reserved. MAYO, MAYO CLINIC, and the
# triple-shield Mayo logo are trademarks and service marks of MFMER.
#
# Except as contained in the copyright notice above, or as used to identify 
# MFMER as the author of this software, the trade names, trademarks, service
# marks, or product names of the copyright holder shall not be used in
# advertising, promotion or otherwise in connection with this software without
# prior written authorization of the copyright holder.
# 
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
# 
# http://www.apache.org/licenses/LICENSE-2.0 
# 
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and 
# limitations under the License. 
################################################################################
# Adopt SecTag
medication ( s ) on discharge	5.37.106.125	discharge_medications
brother	5.34.79.102.51.39	brother_medical_history
brother medical history	5.34.79.102.51.39	brother_medical_history
brother_medical_history	5.34.79.102.51.39	brother_medical_history
bsa	6.40.136.181	body_surface_area
burn	6.40.140.205	burn_exam
burn exam	6.40.140.205	burn_exam
burn examination	6.40.140.205	burn_exam
burn skin	6.40.140.205	burn_exam
burn/skin	6.40.140.205	burn_exam
burn_exam	6.40.140.205	burn_exam
buttock	6.40.139.200.145	buttocks_exam
buttock exam	6.40.139.200.145	buttocks_exam
buttock examination	6.40.139.200.145	buttocks_exam
buttocks	6.40.139.200.145	buttocks_exam
buttocks exam	6.40.139.200.145	buttocks_exam
buttocks examination	6.40.139.200.145	buttocks_exam
buttocks_exam	6.40.139.200.145	buttocks_exam
bw	5.25.54	birth_weight
c a t	5.34.78.92.33.17	pets
c a t at home	5.34.78.92.33.17	pets
c a t home	5.34.78.92.33.17	pets
c spine	5.32.77.81.23.14.13	cervical_spine_course
c spine	6.40.139.200.147.153.81	cervical_spine_exam
c spine	13.51.157.292.202.210	cervical_spine_plan
c spine	5.39.124.160.105.73	cervical_spine_review
calculation	6.40.139.199.139.124.58	attention_and_calculation
calf	6.40.139.200.146.142	calf_exam
calf exam	6.40.139.200.146.142	calf_exam
calf examination	6.40.139.200.146.142	calf_exam
calf_exam	6.40.139.200.146.142	calf_exam
cancer	5.34.79.103.70	oncology_family_history
cancer history	5.35.82.104	oncologic_history
cancer history	5.34.79.103.70	oncology_family_history
cancer risk	5.30.66	cancer_risk_factors
cancer risk factor	5.30.66	cancer_risk_factors
cancer risk factors	5.30.66	cancer_risk_factors
cancer screening test	5.36.103.116	cancer_screening_tests
cancer screening tests	5.36.103.116	cancer_screening_tests
cancer_risk_factors	5.30.66	cancer_risk_factors
cancer_screening_tests	5.36.103.116	cancer_screening_tests
cancers	5.34.79.103.70	oncology_family_history
carbon copy	14.54	carbon_copy
carbon_copy	14.54	carbon_copy
card	6.40.139.194	cardiovascular_exam
card	5.34.79.103.60	cardiovascular_family_history
card	13.51.157.287	cardiovascular_plan
card	5.39.118	cardiovascular_review
cardiac	5.32.77.75	cardiovascular_course
cardiac	6.40.139.194	cardiovascular_exam
cardiac	5.34.79.103.60	cardiovascular_family_history
cardiac	13.51.157.287	cardiovascular_plan
cardiac	5.39.118	cardiovascular_review
cardiac cath	6.41.149.234.162.179.105	cardiac_cath
cardiac catheterization	6.41.149.234.162.179.105	cardiac_cath
cardiac enzyme	6.41.144.206.155	cardiac_enzymes
cardiac enzymes	6.41.144.206.155	cardiac_enzymes
cardiac history	5.35.81	cardiac_history
cardiac murmur	6.40.139.194.127.101	cardiac_murmurs
cardiac murmurs	6.40.139.194.127.101	cardiac_murmurs
cardiac radioisotope scan	6.41.149.234.163.184	cardiac_radioisotope_scan
cardiac review of system	5.39.118	cardiovascular_review
cardiac review of system	5.39	review_of_systems
cardiac review of systems	5.39.118	cardiovascular_review
cardiac review of systems	5.39	review_of_systems
cardiac review system	5.39.118	cardiovascular_review
cardiac review system	5.39	review_of_systems
cardiac risk	5.30.64	cardiac_risk_factors
cardiac risk factor	5.30.64	cardiac_risk_factors
cardiac risk factors	5.30.64	cardiac_risk_factors
cardiac sound	6.40.139.194.127.100	cardiac_sounds
cardiac sounds	6.40.139.194.127.100	cardiac_sounds
cardiac studies	6.41.145	cardiovascular_studies
cardiac study	6.41.145	cardiovascular_studies
cardiac transplant	13.51.156.279.185	heart_transplant_plan
cardiac_cath	6.41.149.234.162.179.105	cardiac_cath
cardiac_enzymes	6.41.144.206.155	cardiac_enzymes
cardiac_history	5.35.81	cardiac_history
cardiac_murmurs	6.40.139.194.127.101	cardiac_murmurs
cardiac_radioisotope_scan	6.41.149.234.163.184	cardiac_radioisotope_scan
cardiac_risk_factors	5.30.64	cardiac_risk_factors
cardiac_sounds	6.40.139.194.127.100	cardiac_sounds
cardio	6.40.139.194	cardiovascular_exam
cardio	5.34.79.103.60	cardiovascular_family_history
cardio	13.51.157.287	cardiovascular_plan
cardio	5.39.118	cardiovascular_review
cardiologist	3.10.7.19	cardiologist
cardiorespiratory	5.32.77.75	cardiovascular_course
cardiorespiratory	6.40.139.194	cardiovascular_exam
cardiorespiratory	5.34.79.103.60	cardiovascular_family_history
cardiorespiratory	13.51.157.287	cardiovascular_plan
cardiorespiratory	5.39.118	cardiovascular_review
cardiovascular	5.32.77.75	cardiovascular_course
cardiovascular	6.40.139.194	cardiovascular_exam
cardiovascular	5.34.79.103.60	cardiovascular_family_history
cardiovascular	13.51.157.287	cardiovascular_plan
cardiovascular	5.39.118	cardiovascular_review
cardiovascular course	5.32.77.75	cardiovascular_course
cardiovascular exam	6.40.139.194	cardiovascular_exam
cardiovascular exam	13.51.157.287	cardiovascular_plan
cardiovascular examination	6.40.139.194	cardiovascular_exam
cardiovascular family history	5.34.79.103.60	cardiovascular_family_history
cardiovascular history	5.35.81	cardiac_history
cardiovascular inspection	6.40.139.194.126	cardiovascular_inspection
cardiovascular plan	13.51.157.287	cardiovascular_plan
cardiovascular review of system	5.39	review_of_systems
cardiovascular review of systems	5.39	review_of_systems
cardiovascular review system	5.39	review_of_systems
cardiovascular stress test	6.41.145.222	stress_test
cardiovascular stress tests	6.41.145.222	stress_test
cardiovascular studies	6.41.145	cardiovascular_studies
cardiovascular study	6.41.145	cardiovascular_studies
cardiovascular system	5.32.77.75	cardiovascular_course
cardiovascular system	6.40.139.194	cardiovascular_exam
cardiovascular system	5.34.79.103.60	cardiovascular_family_history
cardiovascular system	5.39.118	cardiovascular_review
cardiovascular_course	5.32.77.75	cardiovascular_course
cardiovascular_exam	6.40.139.194	cardiovascular_exam
cardiovascular_family_history	5.34.79.103.60	cardiovascular_family_history
cardiovascular_inspection	6.40.139.194.126	cardiovascular_inspection
cardiovascular_plan	13.51.157.287	cardiovascular_plan
cardiovascular_review	5.39.118	cardiovascular_review
cardiovascular_studies	6.41.145	cardiovascular_studies
cards history	5.35.81	cardiac_history
care and recommendations	9	follow_up
care and recommendations at the time of discharge	9	follow_up
care recommendations	9	follow_up
case	5.14.29	case_number
case #	5.14.29	case_number
case no	5.14.29	case_number
case number	5.14.29	case_number
case_number	5.14.29	case_number
cath	6.41.149.234.162.179.105	cardiac_cath
cats	5.34.78.92.33.17	pets
cats at home	5.34.78.92.33.17	pets
cause death	5.22.41	diagnosis_at_death
cause of death	5.22.41	diagnosis_at_death
cc	14.54	carbon_copy
cc	5.26	chief_complaint
cell	5.14.20.32	cell_phone_number
cell number	5.14.20.32	cell_phone_number
cell phone	5.14.20.32	cell_phone_number
cell phone number	5.14.20.32	cell_phone_number
cell_phone_number	5.14.20.32	cell_phone_number
cellphone	5.14.20.32	cell_phone_number
cellular	5.14.20.32	cell_phone_number
cerebellar	6.40.139.199.140.126	cerebellar_exam
cerebellar exam	6.40.139.199.140.126	cerebellar_exam
cerebellar examination	6.40.139.199.140.126	cerebellar_exam
cerebellar_exam	6.40.139.199.140.126	cerebellar_exam
cerebral angiography	6.41.149.234.162.179.106	cerebral_angiography
cerebral vascular risk	5.30.68.62	cerebral_vascular_risk_factors
cerebral vascular risk factor	5.30.68.62	cerebral_vascular_risk_factors
cerebral vascular risk factors	5.30.68.62	cerebral_vascular_risk_factors
cerebral_angiography	6.41.149.234.162.179.106	cerebral_angiography
cerebral_vascular_risk_factors	5.30.68.62	cerebral_vascular_risk_factors
cervical ln	6.40.139.193.123.89	cervical_ln_exam
cervical ln exam	6.40.139.193.123.89	cervical_ln_exam
cervical ln examination	6.40.139.193.123.89	cervical_ln_exam
cervical spine	6.40.139.200.147.153.81	cervical_spine_exam
cervical spine	13.51.157.292.202.210	cervical_spine_plan
cervical spine	5.39.124.160.105.73	cervical_spine_review
cervical spine course	5.32.77.81.23.14.13	cervical_spine_course
cervical spine exam	6.40.139.200.147.153.81	cervical_spine_exam
cervical spine examination	6.40.139.200.147.153.81	cervical_spine_exam
cervical spine plan	13.51.157.292.202.210	cervical_spine_plan
cervical_ln_exam	6.40.139.193.123.89	cervical_ln_exam
cervical_spine_course	5.32.77.81.23.14.13	cervical_spine_course
cervical_spine_exam	6.40.139.200.147.153.81	cervical_spine_exam
cervical_spine_plan	13.51.157.292.202.210	cervical_spine_plan
cervical_spine_review	5.39.124.160.105.73	cervical_spine_review
cervix	6.40.139.198.137.115.51.25	cervix_exam
cervix exam	6.40.139.198.137.115.51.25	cervix_exam
cervix examination	6.40.139.198.137.115.51.25	cervix_exam
cervix_exam	6.40.139.198.137.115.51.25	cervix_exam
change admission note	5.31	changes_to_admission_note
change to admission note	5.31	changes_to_admission_note
changes to admission note	5.31	changes_to_admission_note
changes_to_admission_note	5.31	changes_to_admission_note
chemo regimen	5.37.107.130	chemotherapeutics
chemotherapeutic regimen	5.37.107.130	chemotherapeutics
chemotherapeutics	5.37.107.130	chemotherapeutics
chemotherapy	5.37.107.130	chemotherapeutics
chest	6.40.139.195	chest_exam
chest	13.51.157.288.193	chest_plan
chest	5.39.120.140	chest_review
chest (respiratory)	5.32.77.87	pulmonary_course
chest (respiratory)	6.40.139.195.128	pulmonary_exam
chest (respiratory)	5.39.132	pulmonary_review
chest ausculatation	6.40.139.195.128.102	chest_ausculatation
chest breast	13.51.157.288.195	breast_plan
chest breast	5.39.120.142	breast_review
chest breast	6.40.139.195	chest_exam
chest exam	6.40.139.195	chest_exam
chest examination	6.40.139.195	chest_exam
chest inspection	6.40.139.195.129	chest_inspection
chest lung	5.32.77.87	pulmonary_course
chest lung	6.40.139.195.128	pulmonary_exam
chest lung	13.51.157.296	pulmonary_plan
chest lung	5.39.132	pulmonary_review
chest pain ro	5.39.118.139	chest_pain_review
chest pain ros	5.39.118.139	chest_pain_review
chest percussion	6.40.139.195.128.103	chest_percussion
chest plan	13.51.157.288.193	chest_plan
chest respiratory	5.32.77.87	pulmonary_course
chest respiratory	6.40.139.195.128	pulmonary_exam
chest respiratory	5.39.132	pulmonary_review
chest wall	6.40.139.195.130	chest_wall_exam
chest wall exam	6.40.139.195.130	chest_wall_exam
chest wall examination	6.40.139.195.130	chest_wall_exam
chest x ray	6.41.149.234.160.165	chest_xray
chest xray	6.41.149.234.160.165	chest_xray
chest/breasts	13.51.157.288.195	breast_plan
chest/breasts	5.39.120.142	breast_review
chest/breasts	6.40.139.195	chest_exam
chest/lungs	5.32.77.87	pulmonary_course
chest/lungs	6.40.139.195.128	pulmonary_exam
chest/lungs	13.51.157.296	pulmonary_plan
chest/lungs	5.39.132	pulmonary_review
chest_ausculatation	6.40.139.195.128.102	chest_ausculatation
chest_exam	6.40.139.195	chest_exam
chest_inspection	6.40.139.195.129	chest_inspection
chest_pain_review	5.39.118.139	chest_pain_review
chest_percussion	6.40.139.195.128.103	chest_percussion
chest_plan	13.51.157.288.193	chest_plan
chest_review	5.39.120.140	chest_review
chest_wall_exam	6.40.139.195.130	chest_wall_exam
chest_xray	6.41.149.234.160.165	chest_xray
chew	5.34.78.93.38.21	oral_tobacco_use
chewing tobacco	5.34.78.93.38.21	oral_tobacco_use
chief complaint	5.26	chief_complaint
chief concern	5.26	chief_complaint
chief_complaint	5.26	chief_complaint
child	5.34.78.94.39	children
child	5.34.79.102.50	children_medical_history
child medical history	5.34.79.102.50	children_medical_history
childhood disease history	5.35.95	childhood_disease_history
childhood immunization	5.36.102.115	childhood_immunizations
childhood immunizations	5.36.102.115	childhood_immunizations
childhood_disease_history	5.35.95	childhood_disease_history
childhood_immunizations	5.36.102.115	childhood_immunizations
children	5.34.78.94.39	children
children	5.34.79.102.50	children_medical_history
children medical history	5.34.79.102.50	children_medical_history
children_medical_history	5.34.79.102.50	children_medical_history
cholecystography	6.41.149.234.162.172	cholecystography
cholesterol screening	5.36.103.118	lipid_screen
chronic illness	5.35.80	chronic_illnesses
chronic illnesses	5.35.80	chronic_illnesses
chronic_illnesses	5.35.80	chronic_illnesses
cigar use	5.34.78.93.38.20	smoking_use
cigarette use	5.34.78.93.38.20	smoking_use
clinic	5.14.25	clinic
clinic h p	2.3.2	clinic_history_and_physical
clinic h&p	2.3.2	clinic_history_and_physical
clinic history and physical	2.3.2	clinic_history_and_physical
clinic history physical	2.3.2	clinic_history_and_physical
clinic note	2.5	clinic_note
clinic visit	2.5	clinic_note
clinic_history_and_physical	2.3.2	clinic_history_and_physical
clinic_note	2.5	clinic_note
clinical comment	13	assessment_and_plan
clinical comments	13	assessment_and_plan
clinical data	6.41	laboratory_and_radiology_data
clinical history	5.28	history_present_illness
clinical history indication	5.28	history_present_illness
clinical history/indications	5.28	history_present_illness
clinical impression	13.49	assessment
clinical indication	5.28	history_present_illness
clinical presentation	5.28	history_present_illness
clinical trend	5.32.74	clinical_trend
clinical_fellow	3.10.7.15	fellow
clinical_trend	5.32.74	clinical_trend
close	14	closing
closing	14	closing
clot	5.32.77.74.17	clotting_course
clot	13.51.157.285.192	clotting_plan
clot	5.34.79.103.59.47	coagulation_disorders_family_history
clot	5.39.117.138	coagulation_history
clot abnormality bleeding disorder history	13.51.157.285.192	clotting_plan
clot abnormality bleeding disorder history	5.34.79.103.59.47	coagulation_disorders_family_history
clot abnormality bleeding disorder history	5.39.117.138	coagulation_history
clot abnormality or bleeding disorder history	13.51.157.285.192	clotting_plan
clot abnormality or bleeding disorder history	5.34.79.103.59.47	coagulation_disorders_family_history
clot abnormality or bleeding disorder history	5.39.117.138	coagulation_history
clot course	5.32.77.74.17	clotting_course
clot history	5.32.77.74.17	clotting_course
clot history	13.51.157.285.192	clotting_plan
clot history	5.34.79.103.59.47	coagulation_disorders_family_history
clot history	5.39.117.138	coagulation_history
clot plan	13.51.157.285.192	clotting_plan
clotting	5.32.77.74.17	clotting_course
clotting	13.51.157.285.192	clotting_plan
clotting	5.34.79.103.59.47	coagulation_disorders_family_history
clotting	5.39.117.138	coagulation_history
clotting abnormality or bleeding disorder history	13.51.157.285.192	clotting_plan
clotting abnormality or bleeding disorder history	5.34.79.103.59.47	coagulation_disorders_family_history
clotting abnormality or bleeding disorder history	5.39.117.138	coagulation_history
clotting course	5.32.77.74.17	clotting_course
clotting history	5.32.77.74.17	clotting_course
clotting history	13.51.157.285.192	clotting_plan
clotting history	5.34.79.103.59.47	coagulation_disorders_family_history
clotting history	5.39.117.138	coagulation_history
clotting plan	13.51.157.285.192	clotting_plan
clotting_course	5.32.77.74.17	clotting_course
clotting_plan	13.51.157.285.192	clotting_plan
cmp	6.41.144.206.153	complete_metabolic_panel
cn	6.40.139.199.140.127	cranial_nerve_exam
cnii	6.40.139.199.140.127.60	cranial_nerve_ii
cniii	6.40.139.199.140.127.61.26	cranial_nerve_iii
cniv	6.40.139.199.140.127.61.27	cranial_nerve_iv
cnix	6.40.139.199.140.127.65.29	cranial_nerve_ix
cnix x	6.40.139.199.140.127.65	cranial_nerve_ix_x
cnv	6.40.139.199.140.127.62	cranial_nerve_v
cnvi	6.40.139.199.140.127.61.28	cranial_nerve_vi
cnvii	6.40.139.199.140.127.63	cranial_nerve_vii
cnviii	6.40.139.199.140.127.64	cranial_nerve_viii
cnx	6.40.139.199.140.127.65.30	cranial_nerve_x
cnxi	6.40.139.199.140.127.66	cranial_nerve_xi
cnxii	6.40.139.199.140.127.67	cranial_nerve_xii
coags	6.41.144.206.154	coagulation_panel
coagulation disorder	5.34.79.103.59.47	coagulation_disorders_family_history
coagulation disorder	5.39.117.138	coagulation_history
coagulation disorder family history	5.34.79.103.59.47	coagulation_disorders_family_history
coagulation disorders	5.34.79.103.59.47	coagulation_disorders_family_history
coagulation disorders	5.39.117.138	coagulation_history
coagulation disorders family history	5.34.79.103.59.47	coagulation_disorders_family_history
coagulation history	5.39.117.138	coagulation_history
coagulation panel	6.41.144.206.154	coagulation_panel
coagulation_disorders_family_history	5.34.79.103.59.47	coagulation_disorders_family_history
coagulation_history	5.39.117.138	coagulation_history
coagulation_panel	6.41.144.206.154	coagulation_panel
code	5.19	code_status
code status	5.19	code_status
code_status	5.19	code_status
cognition	6.40.139.199.139.124	cognition
cognitive history	5.35.97	cognitive_history
cognitive_history	5.35.97	cognitive_history
colon biopsy	6.41.153.260	colon_biopsy
colon cancer screening	5.36.103.116.85	colon_cancer_screening
colon_biopsy	6.41.153.260	colon_biopsy
colon_cancer_screening	5.36.103.116.85	colon_cancer_screening
colonoscopy	6.41.150.238.167	colonoscopy
colonoscopy sigmoidoscopy	6.41.150.238.167-6	colonoscopy_sigmoidoscopy
colonoscopy_sigmoidoscopy	6.41.150.238.167-6	colonoscopy_sigmoidoscopy
color	6.40.139.190.116	skin_color_exam
colorectal cancer screening	5.36.103.116.85	colon_cancer_screening
comment	25	comment
common chemistries	6.41.144.206	common_chemistries
common chemistry	6.41.144.206	common_chemistries
common_chemistries	6.41.144.206	common_chemistries
comparison	6.41	laboratory_and_radiology_data
comparison imaging	6.41	laboratory_and_radiology_data
comparison studies	6.41	laboratory_and_radiology_data
comparison study	6.41	laboratory_and_radiology_data
